Instruction;Arg1;Arg2;Arg3;Arg4;Op1;Op2;Op3;Op4;Legacy;REX/VEX;Opcode;ModR/M;Disp;Imm;64-bits Mode;Legacy Mode;Special;Grammar;AT&T;Family;Annotate;Description;Notes;
ADC;imm8;r32;;;imm8;ModRM:r/m (r, w);;;;REX.W0;83;/2;;ib;Valid;Valid;8086;;ADC;ADD;NA;Add with CF sign-extended imm8 into r/m32.;;
ADD;r8;m8/r8;;;ModRM:reg (r);ModRM:r/m (r, w);;;;;00;/r;;;Valid;Valid;8086;;ADD;ADD;NA;Add r8 to r/m8.;;
ADD;r8<>[ABCD]H;m8/r8<>[ABCD]H;;;ModRM:reg (r);ModRM:r/m (r, w);;;;REX;00;/r;;;Valid;N.E.;8086;;ADD;ADD;NA;Add r8 to r/m8.;* In 64-bit mode, r/m8 can not be encoded to access the following byte registers if a REX prefix is used: AH, BH, CH, DH.;
ADD;r32;m32;;;ModRM:reg (r);ModRM:r/m (r, w);;;;REX.W0;01;/r;;;Valid;Valid;8086;;ADD;ADD;NA;Add r32 to r/m32.;;
ADD;r32;r32;;;ModRM:reg (r);ModRM:r/m (r, w);;;;REX.W0;01;/r;;;Valid;Valid;8086;;ADD;ADD;NA;Add r32 to r/m32.;;
ADD;r64;r64;;;ModRM:reg (r);ModRM:r/m (r, w);;;;REX.W;01;/r;;;Valid;N.E.;8086;;ADD;ADD;NA;Add r64 to r/m64.;;
ADD;r64;m64;;;ModRM:reg (r);ModRM:r/m (r, w);;;;REX.W;01;/r;;;Valid;N.E.;8086;;ADD;ADD;NA;Add r64 to r/m64.;;
ADD;r16;m16/r16;;;ModRM:reg (r);ModRM:r/m (r, w);;;;REX.W0;01;/r;;;Valid;Valid;8086;;ADD;ADD;NA;Add r16 to r/m16.;;
ADD;m8/r8;r8;;;ModRM:r/m (r);ModRM:reg (r, w);;;;;02;/r;;;Valid;Valid;8086;;ADD;ADD;NA;Add r/m8 to r8.;;
ADD;m8/r8<>[ABCD]H;r8<>[ABCD]H;;;ModRM:r/m (r);ModRM:reg (r, w);;;;REX;02;/r;;;Valid;N.E.;8086;;ADD;ADD;NA;Add r/m8 to r8.;* In 64-bit mode, r/m8 can not be encoded to access the following byte registers if a REX prefix is used: AH, BH, CH, DH.;
ADD;m64/r64;r64;;;ModRM:r/m (r);ModRM:reg (r, w);;;;REX.W;03;/r;;;Invalid;N.E.;8086;;ADD;ADD;NA;Add r/m64 to r64.;;
ADD;m64;r64;;;ModRM:r/m (r);ModRM:reg (r, w);;;;REX.W;03;/r;;;Valid;N.E.;8086;;ADD;ADD;NA;Add r/m64 to r64.;;
ADD;m32/r32;r32;;;ModRM:r/m (r);ModRM:reg (r, w);;;;REX.W0;03;/r;;;Invalid;Valid;8086;;ADD;ADD;NA;Add r/m32 to r32.;;
ADD;m32;r32;;;ModRM:r/m (r);ModRM:reg (r, w);;;;REX.W0;03;/r;;;Valid;Valid;8086;;ADD;ADD;NA;Add r/m32 to r32.;;
ADD;m16/r16;r16;;;ModRM:r/m (r);ModRM:reg (r, w);;;;REX.W0;03;/r;;;Valid;Valid;8086;;ADD;ADD;NA;Add r/m16 to r16.;;
ADD;imm8;r8=AL;;;imm8;;;;;;04;;;ib;Invalid;Valid;8086;;ADD;ADD;NA;Add imm8 to AL.;;
ADD;imm16;r16=AX;;;imm16;;;;;REX.W0;05;;;iw;Invalid;Valid;8086;Legacy66;ADD;ADD;NA;Add imm16 to AX.;;
ADD;imm32;r32=EAX;;;imm32;;;;;REX.W0;05;;;id;Invalid;Valid;8086;;ADD;ADD;NA;Add imm32 to EAX.;;
ADD;imm32;r64=RAX;;;imm32;;;;;REX.W;05;;;id;Invalid;N.E.;8086;;ADD;ADD;NA;Add imm32 sign-extended to 64-bits to RAX.;;
ADD;imm8;m8/r8<>[ABCD]H;;;imm8;ModRM:r/m (r, w);;;;REX;80;/0;;ib;Valid;N.E.;8086;;ADD;ADD;NA;Add sign-extended imm8 to r/m64.;* In 64-bit mode, r/m8 can not be encoded to access the following byte registers if a REX prefix is used: AH, BH, CH, DH.;
ADD;imm8;m8/r8;;;imm8;ModRM:r/m (r, w);;;;;80;/0;;ib;Valid;Valid;8086;;ADD;ADD;NA;Add imm8 to r/m8.;;
ADD;imm16;m16/r16;;;imm16;ModRM:r/m (r, w);;;;REX.W0;81;/0;;iw;Valid;Valid;8086;;ADD;ADD;NA;Add imm16 to r/m16.;;
ADD;imm32;m64/r64;;;imm32;ModRM:r/m (r, w);;;;REX.W;81;/0;;id;Valid;N.E.;8086;;ADD;ADD;NA;Add imm32 sign-extended to 64-bits to r/m64.;;
ADD;imm32;m32/r32;;;imm32;ModRM:r/m (r, w);;;;REX.W0;81;/0;;id;Valid;Valid;8086;;ADD;ADD;NA;Add imm32 to r/m32.;;
ADD;imm8;m64/r64;;;imm8;ModRM:r/m (r, w);;;;REX.W;83;/0;;ib;Valid;N.E.;8086;;ADD;ADD;NA;Add sign-extended imm8 to r/m64.;;
ADD;imm8;m32/r32;;;imm8;ModRM:r/m (r, w);;;;REX.W0;83;/0;;ib;Valid;Valid;8086;;ADD;ADD;NA;Add sign-extended imm8 to r/m32.;;
ADD;imm8;m16/r16;;;imm8;ModRM:r/m (r, w);;;;REX.W0;83;/0;;ib;Valid;Valid;8086;;ADD;ADD;NA;Add sign-extended imm8 to r/m16.;;
ADDPD;xmm/m128;xmm;;;ModRM:r/m (r);ModRM:reg (r, w);;;66;REX.W0;0F 58;/r;;;Valid;Valid;SSE2;;ADDPD;ADD;NA;Add packed double-precision floating-point values from xmm2/m128 to xmm1.;;
ADDPS;xmm/m128;xmm;;;ModRM:r/m (r);ModRM:reg (r, w);;;;REX.W0;0F 58;/r;;;Valid;Valid;SSE;;ADDPS;ADD;NA;Add packed single-precision floating-point values from xmm2/m128 to xmm1.;;
ADDSD;xmm/m64;xmm;;;ModRM:r/m (r);ModRM:reg (r, w);;;F2;REX.W0;0F 58;/r;;;Valid;Valid;SSE2;;ADDSD;ADD;NA;Add the low double-precision floating-point value from xmm2/m64 to xmm1.;;
ADDSS;xmm/m32;xmm;;;ModRM:r/m (r);ModRM:reg (r, w);;;F3;REX.W0;0F 58;/r;;;Valid;Valid;SSE;;ADDSS;ADD;NA;Add the low single-precision floating-point value from xmm2/m32 to xmm1.;;
ADDSUBPD;xmm/m128;xmm;;;ModRM:r/m (r);ModRM:reg (r, w);;;66;REX.W0;0F D0;/r;;;Valid;Valid;SSE3;;ADDSUBPD;ADD;NA;Add/subtract double-precision floating-point values from xmm2/m128 to xmm1.;;
ADDSUBPS;xmm/m128;xmm;;;ModRM:r/m (r);ModRM:reg (r, w);;;F2;REX.W0;0F D0;/r;;;Valid;Valid;SSE3;;ADDSUBPS;ADD;NA;Add/subtract single-precision floating-point values from xmm2/m128 to xmm1.;;
AESDEC;xmm/m128;xmm;;;ModRM:r/m (r);ModRM:reg (r, w);;;66;;0F 38 DE;/r;;;Valid;Valid;AES;;AESDEC;UNDEF;NA;Perform one round of an AES decryption flow, using the Equivalent Inverse Cipher, operating on a 128-bit data (state) from xmm1 with a 128-bit round key from xmm2/m128.;;
AESDECLAST;xmm/m128;xmm;;;ModRM:r/m (r);ModRM:reg (r, w);;;66;;0F 38 DF;/r;;;Valid;Valid;AES;;AESDECLAST;UNDEF;NA;Perform the last round of an AES decryption flow, using the Equivalent Inverse Cipher, operating on a 128-bit data (state) from xmm1 with a 128-bit round key from xmm2/m128.;;
AESENC;xmm/m128;xmm;;;ModRM:r/m (r);ModRM:reg (r, w);;;66;;0F 38 DC;/r;;;Valid;Valid;AES;;AESENC;UNDEF;NA;Perform one round of an AES encryption flow, operating on a 128-bit data (state) from xmm1 with a 128-bit round key from xmm2/m128.;;
AESENCLAST;xmm/m128;xmm;;;ModRM:r/m (r);ModRM:reg (r, w);;;66;;0F 38 DD;/r;;;Valid;Valid;AES;;AESENCLAST;UNDEF;NA;Perform the last round of an AES encryption flow, operating on a 128-bit data (state) from xmm1 with a 128-bit round key from xmm2/m128.;;
AESIMC;xmm/m128;xmm;;;ModRM:r/m (r);ModRM:reg (w);;;66;;0F 38 DB;/r;;;Valid;Valid;AES;;AESIMC;UNDEF;NA;Perform the InvMixColumn transformation on a 128-bit round key from xmm2/m128 and store the result in xmm1.;;
AESKEYGENASSIST;imm8;xmm/m128;xmm;;imm8;ModRM:r/m (r);ModRM:reg (w);;66;;0F 3A DF;/r;;ib;Valid;Valid;AES;;AESKEYGENASSIST;UNDEF;NA;Assist in AES round key generation using an 8 bits Round Constant (RCON) specified in the immediate byte, operating on 128 bits of data specified in xmm2/m128 and stores the result in xmm1.;;
AND;r8;m8/r8;;;ModRM:reg (r);ModRM:r/m (r, w);;;;;20;/r;;;Valid;Valid;8086;;AND;AND;NA;r/m8 AND r8.;;
AND;r8<>[ABCD]H;m8/r8<>[ABCD]H;;;ModRM:reg (r);ModRM:r/m (r, w);;;;REX;20;/r;;;Valid;N.E.;8086;;AND;AND;NA;r/m64 AND r8 (sign-extended).;* In 64-bit mode, r/m8 can not be encoded to access the following byte registers if a REX prefix is used: AH, BH, CH, DH.;
AND;r64;m64/r64;;;ModRM:reg (r);ModRM:r/m (r, w);;;;REX.W;21;/r;;;Valid;N.E.;8086;;AND;AND;NA;r/m64 AND r32.;;
AND;r16;m16/r16;;;ModRM:reg (r);ModRM:r/m (r, w);;;;REX.W0;21;/r;;;Valid;Valid;8086;;AND;AND;NA;r/m16 AND r16.;;
AND;r32;m32/r32;;;ModRM:reg (r);ModRM:r/m (r, w);;;;REX.W0;21;/r;;;Valid;Valid;8086;;AND;AND;NA;r/m32 AND r32.;;
AND;m8/r8;r8;;;ModRM:r/m (r);ModRM:reg (r, w);;;;;22;/r;;;Valid;Valid;8086;;AND;AND;NA;r8 AND r/m8.;;
AND;m8/r8<>[ABCD]H;r8<>[ABCD]H;;;ModRM:r/m (r);ModRM:reg (r, w);;;;REX;22;/r;;;Valid;N.E.;8086;;AND;AND;NA;r/m64 AND r8 (sign-extended).;* In 64-bit mode, r/m8 can not be encoded to access the following byte registers if a REX prefix is used: AH, BH, CH, DH.;
AND;m16/r16;r16;;;ModRM:r/m (r);ModRM:reg (r, w);;;;REX.W0;23;/r;;;Valid;Valid;8086;;AND;AND;NA;r16 AND r/m16.;;
AND;m64/r64;r64;;;ModRM:r/m (r);ModRM:reg (r, w);;;;REX.W;23;/r;;;Valid;N.E.;8086;;AND;AND;NA;r64 AND r/m64.;;
AND;m32/r32;r32;;;ModRM:r/m (r);ModRM:reg (r, w);;;;REX.W0;23;/r;;;Valid;Valid;8086;;AND;AND;NA;r32 AND r/m32.;;
AND;imm8;r8=AL;;;imm8;;;;;;24;;;ib;Valid;Valid;8086;;AND;AND;NA;AL AND imm8.;;
AND;imm16;r16=AX;;;imm16;;;;;REX.W0;25;;;iw;Valid;Valid;8086;Legacy66;AND;AND;NA;AX AND imm16.;;
AND;imm32;r64=RAX;;;imm32;;;;;REX.W;25;;;id;Valid;N.E.;8086;;AND;AND;NA;RAX AND imm32 sign-extended to 64-bits.;;
AND;imm32;r32=EAX;;;imm32;;;;;REX.W0;25;;;id;Valid;Valid;8086;;AND;AND;NA;EAX AND imm32.;;
AND;imm8;m8/r8<>[ABCD]H;;;imm8;ModRM:r/m (r, w);;;;REX;80;/4;;ib;Valid;N.E.;8086;;AND;AND;NA;r/m64 AND imm8 (sign-extended).;* In 64-bit mode, r/m8 can not be encoded to access the following byte registers if a REX prefix is used: AH, BH, CH, DH.;
AND;imm8;m8/r8;;;imm8;ModRM:r/m (r, w);;;;;80;/4;;ib;Valid;Valid;8086;;AND;AND;NA;r/m8 AND imm8.;;
AND;imm16;m16/r16;;;imm16;ModRM:r/m (r, w);;;;REX.W0;81;/4;;iw;Valid;Valid;8086;;AND;AND;NA;r/m16 AND imm16.;;
AND;imm32;m64/r64;;;imm32;ModRM:r/m (r, w);;;;REX.W;81;/4;;id;Valid;N.E.;8086;;AND;AND;NA;r/m64 AND imm32 sign extended to 64-bits.;;
AND;imm32;m32/r32;;;imm32;ModRM:r/m (r, w);;;;REX.W0;81;/4;;id;Valid;Valid;8086;;AND;AND;NA;r/m32 AND imm32.;;
AND;imm8;m64/r64;;;imm8;ModRM:r/m (r, w);;;;REX.W;83;/4;;ib;Valid;N.E.;8086;;AND;AND;NA;r/m64 AND imm8 (sign-extended).;;
AND;imm8;m32/r32;;;imm8;ModRM:r/m (r, w);;;;REX.W0;83;/4;;ib;Valid;Valid;8086;;AND;AND;NA;r/m32 AND imm8 (sign-extended).;;
AND;imm8;m16/r16;;;imm8;ModRM:r/m (r, w);;;;REX.W0;83;/4;;ib;Valid;Valid;8086;;AND;AND;NA;r/m16 AND imm8 (sign-extended).;;
ANDNPD;xmm/m128;xmm;;;ModRM:r/m (r);ModRM:reg (r, w);;;66;REX.W0;0F 55;/r;;;Valid;Valid;SSE2;;ANDNPD;AND;NA;Bitwise logical AND NOT of xmm2/m128 and xmm1.;;
ANDNPS;xmm/m128;xmm;;;ModRM:r/m (r);ModRM:reg (r, w);;;;REX.W0;0F 55;/r;;;Valid;Valid;SSE;;ANDNPS;AND;NA;Bitwise logical AND NOT of xmm2/m128 and xmm1.;;
ANDPD;xmm/m128;xmm;;;ModRM:r/m (r);ModRM:reg (r, w);;;66;REX.W0;0F 54;/r;;;Valid;Valid;SSE2;;ANDPD;XOR;NA;Bitwise logical AND of xmm2/m128 and xmm1.;;
ANDPS;xmm/m128;xmm;;;ModRM:r/m (r);ModRM:reg (r, w);;;;REX.W0;0F 54;/r;;;Valid;Valid;SSE;;ANDPS;XOR;NA;Bitwise logical AND of xmm2/m128 and xmm1.;;
ARPL;r16;m16/r16;;;ModRM:reg (r);ModRM:r/m (w);;;;;63;/r;;;N.E.;Valid;8086;;ARPL;ARPL;NA;Adjust RPL of r/m16 to not less than RPL of r16.;;
BLENDPD;imm8;xmm/m128;xmm;;imm8;ModRM:r/m (r);ModRM:reg (w);;66;;0F 3A 0D;/r;;ib;Valid;Valid;SSE4_1;;BLENDPD;UNDEF;NA;Select packed DP-FP values from xmm1 and xmm2/m128 from mask specified in imm8 and store the values into xmm1.;;
BLENDPS;imm8;xmm/m128;xmm;;imm8;ModRM:r/m (r);ModRM:reg (w);;66;;0F 3A 0C;/r;;ib;Valid;Valid;SSE4_1;;BLENDPS;UNDEF;NA;Select packed single precision floating-point values from xmm1 and xmm2/m128 from mask specified in imm8 and store the values into xmm1.;;
BLENDVPD;xmm/m128;xmm;;;ModRM:r/m (r);ModRM:reg (r, w);;;66;;0F 38 15;/r;;;Valid;Valid;SSE4_1;;BLENDVPD;UNDEF;NA;Select packed DP FP values from xmm1 and xmm2 from;;
BLENDVPS;xmm/m128;xmm;;;ModRM:r/m (r);ModRM:reg (r, w);;;66;;0F 38 14;/r;;;Valid;Valid;SSE4_1;;BLENDVPS;UNDEF;NA;Select packed single precision floating-point values from xmm1 and xmm2/m128 from mask specified in XMM0 and store the values into xmm1.;;
BOUND;m32&32;r32;;;ModRM:r/m (r);ModRM:reg (r);;;;;62;/r;;;Invalid;Valid;8086;;BOUND;BOUND;NA;Check if r32 (array index) is within bounds specified by m16&16.;;
BOUND;m16&16;r16;;;ModRM:r/m (r);ModRM:reg (r);;;;;62;/r;;;Invalid;Valid;8086;;BOUND;BOUND;NA;Check if r16 (array index) is within bounds specified by m16&16.;;
BSF;m16/r16;r16;;;ModRM:r/m (r);ModRM:reg (w);;;;REX.W0;0F BC;/r;;;Valid;Valid;8086;;BSF;BS;NA;Bit scan forward on r/m16.;;
BSF;m32/r32;r32;;;ModRM:r/m (r);ModRM:reg (w);;;;REX.W0;0F BC;/r;;;Valid;Valid;8086;;BSF;BS;NA;Bit scan forward on r/m32.;;
BSF;m64/r64;r64;;;ModRM:r/m (r);ModRM:reg (w);;;;REX.W;0F BC;/r;;;Valid;N.E.;8086;;BSF;BS;NA;Bit scan forward on r/m64.;;
BSR;m32/r32;r32;;;ModRM:r/m (r);ModRM:reg (w);;;;REX.W0;0F BD;/r;;;Valid;Valid;8086;;BSR;BS;NA;Bit scan reverse on r/m32.;;
BSR;m16/r16;r16;;;ModRM:r/m (r);ModRM:reg (w);;;;REX.W0;0F BD;/r;;;Valid;Valid;8086;;BSR;BS;NA;Bit scan reverse on r/m16.;;
BSR;m64/r64;r64;;;ModRM:r/m (r);ModRM:reg (w);;;;REX.W;0F BD;/r;;;Valid;N.E.;8086;;BSR;BS;NA;Bit scan reverse on r/m64.;;
BSWAP;r64;;;;ModRM:reg (r, w);;;;;REX.W;0F C8+rd;;;;Valid;N.E.;8086;;BSWAP;BSWAP;NA;Reverses the byte order of a 64-bit register.;;
BSWAP;r32;;;;ModRM:reg (r, w);;;;;REX.W0;0F C8+rd;;;;Valid;Valid;8086;;BSWAP;BSWAP;NA;Reverses the byte order of a 32-bit register.;* See IA-32 Architecture Compatibility section below.;
BT;r32;m32/r32;;;ModRM:reg (r);ModRM:r/m (r);;;;REX.W0;0F A3;/r;;;Valid;Valid;8086;;BT;BT;NA;Store selected bit in CF flag.;;
BT;r16;m16/r16;;;ModRM:reg (r);ModRM:r/m (r);;;;REX.W0;0F A3;/r;;;Valid;Valid;8086;;BT;BT;NA;Store selected bit in CF flag.;;
BT;r64;m64/r64;;;ModRM:reg (r);ModRM:r/m (r);;;;REX.W;0F A3;/r;;;Valid;N.E.;8086;;BT;BT;NA;Store selected bit in CF flag.;;
BT;imm8;m16/r16;;;imm8;ModRM:r/m (r);;;;REX.W0;0F BA;/4;;ib;Valid;Valid;8086;;BT;BT;NA;Store selected bit in CF flag.;;
BT;imm8;m32/r32;;;imm8;ModRM:r/m (r);;;;REX.W0;0F BA;/4;;ib;Valid;Valid;8086;;BT;BT;NA;Store selected bit in CF flag.;;
BT;imm8;m64/r64;;;imm8;ModRM:r/m (r);;;;REX.W;0F BA;/4;;ib;Valid;N.E.;8086;;BT;BT;NA;Store selected bit in CF flag.;;
BTC;imm8;m32/r32;;;imm8;ModRM:r/m (r, w);;;;REX.W0;0F BA;/7;;ib;Valid;Valid;8086;;BTC;BT;NA;Store selected bit in CF flag and complement.;;
BTC;imm8;m64/r64;;;imm8;ModRM:r/m (r, w);;;;REX.W;0F BA;/7;;ib;Valid;N.E.;8086;;BTC;BT;NA;Store selected bit in CF flag and complement.;;
BTC;imm8;m16/r16;;;imm8;ModRM:r/m (r, w);;;;REX.W0;0F BA;/7;;ib;Valid;Valid;8086;;BTC;BT;NA;Store selected bit in CF flag and complement.;;
BTC;r16;m16/r16;;;ModRM:reg (r);ModRM:r/m (r, w);;;;REX.W0;0F BB;/r;;;Valid;Valid;8086;;BTC;BT;NA;Store selected bit in CF flag and complement.;;
BTC;r32;m32/r32;;;ModRM:reg (r);ModRM:r/m (r, w);;;;REX.W0;0F BB;/r;;;Valid;Valid;8086;;BTC;BT;NA;Store selected bit in CF flag and complement.;;
BTC;r64;m64/r64;;;ModRM:reg (r);ModRM:r/m (r, w);;;;REX.W;0F BB;/r;;;Valid;N.E.;8086;;BTC;BT;NA;Store selected bit in CF flag and complement.;;
BTR;r32;m32/r32;;;ModRM:reg (r);ModRM:r/m (r, w);;;;REX.W0;0F B3;/r;;;Valid;Valid;8086;;BTR;BT;NA;Store selected bit in CF flag and clear.;;
BTR;r64;m64/r64;;;ModRM:reg (r);ModRM:r/m (r, w);;;;REX.W;0F B3;/r;;;Valid;N.E.;8086;;BTR;BT;NA;Store selected bit in CF flag and clear.;;
BTR;r16;m16/r16;;;ModRM:reg (r);ModRM:r/m (r, w);;;;REX.W0;0F B3;/r;;;Valid;Valid;8086;;BTR;BT;NA;Store selected bit in CF flag and clear.;;
BTR;imm8;m64/r64;;;imm8;ModRM:r/m (r, w);;;;REX.W;0F BA;/6;;ib;Valid;N.E.;8086;;BTR;BT;NA;Store selected bit in CF flag and clear.;;
BTR;imm8;m16/r16;;;imm8;ModRM:r/m (r, w);;;;REX.W0;0F BA;/6;;ib;Valid;Valid;8086;;BTR;BT;NA;Store selected bit in CF flag and clear.;;
BTR;imm8;m32/r32;;;imm8;ModRM:r/m (r, w);;;;REX.W0;0F BA;/6;;ib;Valid;Valid;8086;;BTR;BT;NA;Store selected bit in CF flag and clear.;;
BTS;r32;m32/r32;;;ModRM:reg (r);ModRM:r/m (r, w);;;;REX.W0;0F AB;/r;;;Valid;Valid;8086;;BTS;BT;NA;Store selected bit in CF flag and set.;;
BTS;r16;m16/r16;;;ModRM:reg (r);ModRM:r/m (r, w);;;;REX.W0;0F AB;/r;;;Valid;Valid;8086;;BTS;BT;NA;Store selected bit in CF flag and set.;;
BTS;r64;m64/r64;;;ModRM:reg (r);ModRM:r/m (r, w);;;;REX.W;0F AB;/r;;;Valid;N.E.;8086;;BTS;BT;NA;Store selected bit in CF flag and set.;;
BTS;imm8;m16/r16;;;imm8;ModRM:r/m (r, w);;;;REX.W0;0F BA;/5;;ib;Valid;Valid;8086;;BTS;BT;NA;Store selected bit in CF flag and set.;;
BTS;imm8;m32/r32;;;imm8;ModRM:r/m (r, w);;;;REX.W0;0F BA;/5;;ib;Valid;Valid;8086;;BTS;BT;NA;Store selected bit in CF flag and set.;;
